"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_183","motif_119","0.067","0.461","878.2787","None","None"
"document_1830","motif_333","0.800","0.153","370.0907","None","None"
"document_1830","motif_59","0.129","0.470","370.0907","None","None"
"document_1830","motif_371","0.062","0.907","370.0907","None","None"
"document_1831","motif_202","0.390","0.857","195.1218","None","None"
"document_1831","motif_353","0.388","0.251","195.1218","None","None"
"document_1831","motif_23","0.111","0.212","195.1218","None","None"
"document_1831","motif_354","0.082","0.329","195.1218","None","None"
"document_1832","motif_391","0.977","0.068","155.1536","None","None"
"document_1833","motif_181","0.746","0.242","194.1167","None","None"
"document_1833","motif_310","0.254","0.257","194.1167","None","None"
"document_1834","motif_116","0.642","0.265","553.4185","None","None"
"document_1834","motif_217","0.316","0.420","553.4185","None","None"
"document_1835","motif_166","0.534","0.026","476.3264","None","None"
"document_1835","motif_284","0.222","0.380","476.3264","None","None"
"document_1835","motif_15","0.112","0.400","476.3264","None","None"
"document_1835","motif_33","0.093","0.431","476.3264","None","None"
"document_1836","motif_71","0.561","0.864","768.4436","None","None"
"document_1836","motif_396","0.092","0.545","768.4436","None","None"
"document_1836","motif_202","0.066","0.913","768.4436","None","None"
"document_1836","motif_108","0.059","0.460","768.4436","None","None"
"document_1836","motif_190","0.057","0.174","768.4436","None","None"
"document_1837","motif_11","0.971","0.011","437.1200","None","None"
"document_1838","motif_71","0.851","0.869","724.4164","None","None"
"document_1838","motif_202","0.120","0.939","724.4164","None","None"
"document_1839","motif_180","0.428","0.380","420.3450","None","None"
"document_1839","motif_136","0.209","0.314","420.3450","None","None"
"document_1839","motif_116","0.088","0.129","420.3450","None","None"
"document_1839","motif_284","0.087","0.416","420.3450","None","None"
"document_1839","motif_137","0.054","0.779","420.3450","None","None"
"document_184","motif_328","0.514","0.032","408.2276","None","None"
"document_184","motif_170","0.147","0.364","408.2276","None","None"
"document_184","motif_123","0.145","0.090","408.2276","None","None"
"document_184","motif_1","0.069","0.300","408.2276","None","None"
"document_1840","motif_87","0.862","0.051","216.1950","None","None"
"document_1840","motif_136","0.072","0.270","216.1950","None","None"
"document_1841","motif_71","0.967","0.852","708.3980","None","None"
"document_1842","motif_202","0.472","0.913","598.3925","None","None"
"document_1842","motif_334","0.307","0.107","598.3925","None","None"
"document_1842","motif_1","0.106","0.298","598.3925","None","None"
"document_1842","motif_230","0.081","0.751","598.3925","None","None"
"document_1843","motif_180","0.831","0.399","459.3001","None","None"
"document_1843","motif_353","0.129","0.374","459.3001","None","None"
"document_1844","motif_180","0.943","0.162","544.3598","None","None"
"document_1845","motif_71","0.519","0.854","650.3565","None","None"
"document_1845","motif_198","0.404","0.793","650.3565","None","None"
"document_1845","motif_202","0.075","0.894","650.3565","None","None"
"document_1846","motif_141","0.607","0.428","343.2827","None","None"
"document_1846","motif_373","0.105","0.188","343.2827","None","None"
"document_1846","motif_137","0.085","0.756","343.2827","None","None"
"document_1846","motif_110","0.071","0.340","343.2827","None","None"
"document_1847","motif_18","0.915","0.049","532.3279","None","None"
"document_1848","motif_277","0.579","0.625","210.1116","None","None"
"document_1848","motif_117","0.412","0.650","210.1116","None","None"
"document_1849","motif_9","0.828","0.141","238.1428","None","None"
"document_1849","motif_41","0.055","0.141","238.1428","None","None"
"document_185","motif_338","0.797","0.505","701.6160","None","None"
