Document	Motif	Probability	Overlap Score	Precursor Mass	Retention Time	Document Annotation	Motif_consensus	Motif_2	Proba_2	Overl_2	Motif_3	Proba_3	Overl_3	Motif_4	Proba_4	Overl_4	Motif_5	Proba_5	Overl_5	Motif_6	Proba_6	Overl_6	Motif_7	Proba_7	Overl_7	Motif_8	Proba_8	Overl_8	Motif_9	Proba_9	Overl_9
1956	M101	0.494	0.16399999999999998	295.1885	None	None	M101,M186,M152,M271,M54,M266	M186	0.128	0.91	M152	0.106	0.5720000000000001	M271	0.09300000000000001	0.276	M54	0.084	0.514	M266	0.062	0.642									
1957	M198	0.8440000000000001	0.799	680.367	None	None	M198,M202	M202	0.154	0.898																					
1958	M48	0.616	0.242	407.2308	None	None	M48,M54,M152	M54	0.19399999999999998	0.425	M152	0.168	0.565																		
1959	M76	0.735	0.212	385.2146	None	None	M76,M152,M308	M152	0.13	0.561	M308	0.094	0.406																		
196	M192	0.7120000000000001	0.774	450.3186	None	None	M192,M363	M363	0.203	0.22699999999999998																					
1960	M383	0.983	0.021	363.1777	None	None	M383																								
1961	M71	0.682	0.857	512.3766	None	None	M71,M230,M202	M230	0.182	0.8240000000000001	M202	0.106	0.907																		
1962	M198	0.688	0.7809999999999999	328.1587	None	None	M198,M202,M28,M169	M202	0.12300000000000001	0.9159999999999999	M28	0.064	0.735	M169	0.06	0.311															
1963	M33	0.925	0.185	589.0747	None	None	M33,M96	M96	0.057	0.623																					
1964	M257	0.6709999999999999	0.098	366.2835	None	None	M257,M198,M170,M230	M198	0.159	0.6890000000000001	M170	0.066	0.43200000000000005	M230	0.051	0.8029999999999999															
1965	M398	0.997	0.034	509.2174	None	None	M398																								
1966	M297	0.8390000000000001	0.106	234.1692	None	None	M297,M184	M184	0.098	0.62																					
1967	M38	0.9159999999999999	0.214	480.3906	None	None	M38,M137	M137	0.066	0.853																					
1968	M71	0.547	0.863	452.2472	None	None	M71,M214,M91,M316,M345	M214	0.10099999999999999	0.23	M91	0.087	0.136	M316	0.078	0.078	M345	0.055	0.34299999999999997												
1969	M202	0.446	0.838	484.382	None	None	M202,M230,M255,M47	M230	0.281	0.815	M255	0.14400000000000002	0.183	M47	0.053	0.917															
197	M372	0.501	0.5870000000000001	502.3714	None	None	M372,M202,M186	M202	0.29600000000000004	0.95	M186	0.085	0.915																		
1970	M26	0.932	0.7070000000000001	706.1689	None	None	M26,M316	M316	0.068	0.435																					
1971	M198	0.6	0.8	498.3611	None	None	M198,M202,M230	M202	0.142	0.903	M230	0.139	0.823																		
1972	M85	0.902	0.027000000000000003	231.0831	None	None	M85,M279	M279	0.095	0.044000000000000004																					
1973	M13	0.963	0.021	289.0882	None	None	M13																								
1974	M284	0.9990000000000001	0.033	386.252	None	None	M284																								
1975	M198	0.43	0.769	393.226	None	None	M198,M345,M203,M329	M345	0.188	0.342	M203	0.102	0.08800000000000001	M329	0.068	0.428															
1976	M389	0.574	0.225	297.1467	None	None	M389,M197,M152,M157	M197	0.09699999999999999	0.42200000000000004	M152	0.063	0.619	M157	0.06	0.507															
